Langage,Tri,Taille,Temps,mémoire
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,Fusion,50000,0.01,1664
C,rapide,50000,0.20,1664
C,rapide,50000,0.13,1664
C,rapide,50000,0.14,1664
C,rapide,50000,0.18,1664
C,rapide,50000,0.18,1664
C,rapide,50000,0.18,1664
C,rapide,50000,0.21,1664
C,rapide,50000,0.22,1664
C,rapide,50000,0.17,1664
C,rapide,50000,0.16,1664
C,insertion,50000,2.26,1536
C,insertion,50000,1.97,1536
C,insertion,50000,1.71,1536
C,insertion,50000,1.71,1536
C,insertion,50000,3.92,1536
C,insertion,50000,3.92,1536
C,insertion,50000,2.11,1536
C,insertion,50000,3.92,1536
C,insertion,50000,1.69,1536
C,insertion,50000,3.92,1536
Java,Fusion,50000,0.72,72924
Java,Fusion,50000,0.71,73336
Java,Fusion,50000,0.79,77292
Java,Fusion,50000,0.74,73768
Java,Fusion,50000,0.75,77640
Java,Fusion,50000,0.76,74976
Java,Fusion,50000,0.72,74096
Java,Fusion,50000,0.77,73480
Java,Fusion,50000,0.74,74148
Java,Fusion,50000,0.76,73808
Java,rapide,50000,1.15,73176
Java,rapide,50000,0.99,71072
Java,rapide,50000,1.13,71600
Java,rapide,50000,1.42,73916
Java,rapide,50000,1.31,71536
Java,rapide,50000,1.39,73284
Java,rapide,50000,1.39,72376
Java,rapide,50000,1.41,72780
Java,rapide,50000,1.32,71008
Java,rapide,50000,1.27,72732
Java,insertion,50000,3.91,70356
Java,insertion,50000,3.82,72772
Java,insertion,50000,3.79,71800
Java,insertion,50000,3.79,74500
Java,insertion,50000,3.73,74320
Java,insertion,50000,3.79,73152
Java,insertion,50000,3.73,71696
Java,insertion,50000,3.71,73768
Java,insertion,50000,3.81,71192
Java,insertion,50000,3.75,70116
Python,Fusion,50000,0.37,15744
Python,Fusion,50000,0.36,15872
Python,Fusion,50000,0.37,15872
Python,Fusion,50000,0.37,15872
Python,Fusion,50000,0.35,15872
Python,Fusion,50000,0.36,15744
Python,Fusion,50000,0.36,15872
Python,Fusion,50000,0.37,15744
Python,Fusion,50000,0.36,15872
Python,Fusion,50000,0.39,15616
Python,rapide,50000,1.57,15744
Python,rapide,50000,1.53,15872
Python,rapide,50000,1.48,15872
Python,rapide,50000,1.52,15744
Python,rapide,50000,1.47,15872
Python,rapide,50000,1.45,15744
Python,rapide,50000,1.46,15872
Python,rapide,50000,1.50,15872
Python,rapide,50000,1.50,15872
Python,rapide,50000,1.47,15744
Python,insertion,50000,82.39,15872
Python,insertion,50000,85.29,15872
Python,insertion,50000,82.98,15872
Python,insertion,50000,82.47,15872
Python,insertion,50000,86.50,15872
Python,insertion,50000,84.12,15872
Python,insertion,50000,94.17,15872
Python,insertion,50000,90.52,15872
Python,insertion,50000,87.84,15872
Python,insertion,50000,86.07,15744
